,tra_lr_mean,tra_sup_loss_mean,tra_sup_dice_DSC1,tra_sup_dice_DSC2,tra_sup_dice_DSC3,tra_sup_dice_DSC_mean,val_loss_mean,val_dice_DSC1,val_dice_DSC2,val_dice_DSC3,val_dice_DSC_mean
80,2.65570898649993e-06,0.028802545716365185,0.9531413912773132,0.9479198455810547,0.9607850909233093,0.9539487759272257,0.09654399738288841,0.77843177318573,0.7716262936592102,0.891904354095459,0.8139874736467997
81,2.4278577909661703e-06,0.028707386373231825,0.9536339640617371,0.9487504959106445,0.9611727595329285,0.9545190731684366,0.0995414642473826,0.7773828506469727,0.7602166533470154,0.8847282528877258,0.8074425856272379
82,2.2092930016131173e-06,0.028120203049232552,0.953854501247406,0.9480968713760376,0.9613853693008423,0.9544455806414286,0.09678512911957046,0.7820611000061035,0.7681024074554443,0.8925383687019348,0.8142339587211609
83,2.0002809059692744e-06,0.028104471098631616,0.9549533128738403,0.9489118456840515,0.9613893628120422,0.9550848404566447,0.09668698276464754,0.7743512988090515,0.7722748517990112,0.8951064348220825,0.8139108618100485
84,1.8010761530773364e-06,0.027904562025020525,0.9543237090110779,0.9481515288352966,0.9610710144042969,0.9545154174168905,0.09415061241732195,0.7843620181083679,0.7751208543777466,0.8960486650466919,0.8185105125109354
85,1.6119214432435624e-06,0.02758536500856281,0.9536961913108826,0.9486220479011536,0.9615015983581543,0.9546066125233968,0.09589936956763268,0.78317791223526,0.7710732817649841,0.8943992257118225,0.8162168065706888
86,1.4330472323448355e-06,0.02763750299190481,0.9542763829231262,0.9487084746360779,0.9615322947502136,0.9548390507698059,0.09441339726058336,0.7806342244148254,0.773658037185669,0.8967668414115906,0.8170197010040283
87,1.2646714510536793e-06,0.027573209734012682,0.9527053236961365,0.9484481811523438,0.9613914489746094,0.9541816512743632,0.09415231401530597,0.7852870225906372,0.7763938903808594,0.8967697620391846,0.8194835583368937
88,1.1069992393232888e-06,0.027245837431401018,0.9539554715156555,0.9486122131347656,0.9611836671829224,0.9545837839444479,0.09488238738133357,0.7802921533584595,0.7783836722373962,0.894231915473938,0.8176359136899313
89,9.602226964561233e-07,0.027138010232398913,0.9545486569404602,0.9491277933120728,0.9619142413139343,0.9551968971888224,0.09439987273743522,0.780051052570343,0.7799794673919678,0.895618736743927,0.8185497522354126
90,8.24520647060467e-07,0.0273699044622481,0.9539670944213867,0.9489529728889465,0.9615589380264282,0.9548263351122538,0.09419458774993054,0.7838611006736755,0.7763045430183411,0.8960985541343689,0.8187547326087952
91,7.000584231802129e-07,0.026914354196439182,0.9543032050132751,0.9488292932510376,0.9616262316703796,0.9549195766448975,0.09393415313500625,0.785895824432373,0.7762121558189392,0.8969680070877075,0.8196919957796732
92,5.869876628632229e-07,0.026939316727220993,0.9544923901557922,0.9489342570304871,0.9616686701774597,0.9550317724545797,0.09468796089864695,0.7853197455406189,0.7756635546684265,0.8947197198867798,0.818567673365275
93,4.854461254137296e-07,0.026850074616571264,0.9550938010215759,0.9492263197898865,0.9619523286819458,0.9554241498311361,0.09490579237731604,0.7777215242385864,0.7720861434936523,0.8945809006690979,0.8147961894671122
94,3.955575235538354e-07,0.026811756690343205,0.954903244972229,0.9489670991897583,0.9616367220878601,0.9551690220832825,0.09399981409884416,0.7860082983970642,0.7759742736816406,0.8958274126052856,0.8192699948946635
95,3.1743137269863363e-07,0.026806548206756514,0.9544035196304321,0.9488263130187988,0.9614757895469666,0.9549018740653992,0.09408634499861644,0.7842027544975281,0.777513325214386,0.8962887525558472,0.8193349440892538
96,2.5116285752853037e-07,0.02684190155938268,0.9545542001724243,0.9489275813102722,0.9616700410842896,0.9550506075223287,0.09327898704661773,0.7835028171539307,0.7762377262115479,0.8984425067901611,0.8193943500518799
97,1.968327160213761e-07,0.026905619452397035,0.954925537109375,0.9487444758415222,0.9614835977554321,0.9550512035687765,0.09368738789971058,0.7833753228187561,0.7784240245819092,0.8950371742248535,0.8189455072085062
